,LocationId,TotalCapacity,LocationName,CountOfParticipants,PercetageCapacity,LastUpdatedDateAndTime,LastCount,MinColor,MidColor,MaxColor,MinCapacityRange,MaxCapacityRange,CountCapacityColorEnabled,FacilityId,FacilityName,IsClosed,time_retrived
17,5993,200,Scifres ,0,0,2021-11-19T23:18:55.42,10,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
18,5972,20,Climbing Wall ,0,0,2021-11-18T22:20:16.343,11,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637406302.8716605
19,5969,20,Bouldering Wall,0,0,2021-11-19T23:18:56.653,4,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
20,5976,300,East Fitness (Strength Equipment),0,0,2021-11-19T23:18:57.043,26,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
21,5990,50,Olympic Lifting Room ,0,0,2021-11-19T23:18:57.437,1,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
22,6132,300,MP4 (Table Tennis),0,0,2021-11-19T23:18:58.233,10,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
23,6131,100,MP3 (Strength Equipment),0,0,2021-11-19T23:18:58.61,8,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
24,7291,300,Colby (Cardio),0,0,2021-11-19T23:18:59.013,3,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
25,7290,300,Colby (Strength),0,0,2021-11-19T23:18:59.39,48,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
26,5985,300,Lower Gym (Badminton & Pickleball),0,0,2021-11-19T23:18:59.793,54,#ffc90e,,#ed1c24,60,90,True,976,Operations,False,1637406302.8716605
27,5994,300,TREC,0,0,2021-11-19T22:16:37.437,43,#ffc90e,,#ed1c24,60,90,True,976,Operations,True,1637406302.8716605
